Organization Name,Organization Name URL,Headquarters Location,Description,Industries,CB Rank (Company),Exit Date,Exit Date Precision,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Founded Date,Founded Date Precision,Operating Status
Teachmint,https://www.crunchbase.com/organization/teachmint,"Bengaluru, Karnataka, India",Teachmint is an education infrastructure provider and India’s largest teaching platform,"B2B, E-Learning, EdTech, Education","1,486",,,5,Early Stage Venture,2021-10-25,78000000,USD,78000000,Series B,78000000,USD,78000000,118000000,USD,118000000,Series B,118000000,USD,118000000,"Titan Capital, Vulcan Capital, Better Capital, Rocketship.vc, Learn Capital",2020-01-01,year,Active
Hungryroot,https://www.crunchbase.com/organization/reimagined,"New York, New York, United States",Hungryroot is a provider of an artificial intelligence-powered personalized grocery service.,"Artificial Intelligence (AI), Consumer Goods, E-Commerce, Food and Beverage, Retail, Software","1,491",,,5,Late Stage Venture,2021-06-04,40000000,USD,40000000,Series C,40000000,USD,40000000,75400000,USD,75400000,Series C,75400000,USD,75400000,"Lightspeed Venture Partners, L Catterton, Crosslink Capital, Zelkova Ventures, Brooklyn Bridge Ventures",2015-01-01,year,Active
Ursa Major,https://www.crunchbase.com/organization/ursa-major-technologies,"Berthoud, Colorado, United States","Ursa Major provides a propulsion system for space launch, hypersonics, and national security.","Aerospace, Satellite Communication, Space Travel","1,525",,,10,Late Stage Venture,2023-11-30,38000000,USD,38000000,Series D,38000000,USD,38000000,271829970,USD,271829970,Series D,271829970,USD,271829970,"Alumni Ventures, BlackRock, Exor Ventures, Mack & Co., Dolby Family Ventures",2015-01-01,year,Active
Modernizing Medicine,https://www.crunchbase.com/organization/modernizing-medicine,"Boca Raton, Florida, United States",Modernizing Medicine creates an cloud-based specialty-specific electronic medical record system.,"Electronic Health Record (EHR), Health Care, Software","1,575",,,10,,2022-02-22,53369486,USD,53369486,Venture - Series Unknown,53369486,USD,53369486,375505486,USD,375505486,Venture - Series Unknown,385930486,USD,385930486,"IBM, Warburg Pincus, Sands Capital Ventures, Summit Partners, Silicon Valley Bank",2010-01-01,year,Active
Sendcloud,https://www.crunchbase.com/organization/sendcloud,"Eindhoven, Noord-Brabant, The Netherlands",SendCloud is an all-in-one shipping platform that connects online retailers to shipping carriers to save them time and money.,"E-Commerce, Logistics, Shipping","1,594",,,6,Late Stage Venture,2021-09-15,177000000,USD,177000000,Series C,177000000,USD,177000000,200908942,USD,200908942,Series C,200908942,USD,200908942,"L Catterton, AXA Venture Partners, Startupbootcamp, BOM, henQ",2012-10-16,day,Active
Apartment List,https://www.crunchbase.com/organization/apartmentlist,"San Francisco, California, United States","Apartment List is a smart, simple and seamless renting platform that’s dedicated to making the process fair and transparent for all.","Marketplace, Real Estate, Rental, Rental Property, Search Engine","1,596",,,7,Late Stage Venture,2020-12-21,60000000,USD,60000000,Series D,60000000,USD,60000000,163000000,USD,163000000,Series D,169000000,USD,169000000,"ACME Capital, Janus Henderson Investors, Industry Ventures, Allen & Company, CSC Upshot",2009-01-01,year,Active
DNAnexus,https://www.crunchbase.com/organization/dnanexus,"Mountain View, California, United States",DNAnexus develops a cloud platform and global network designed for scientific collaboration and accelerated discovery.,"Bioinformatics, Biotechnology, Cloud Computing, Medical, Software","1,692",,,9,Late Stage Venture,2022-03-08,200000000,USD,200000000,Series H,200000000,USD,200000000,472550000,USD,472550000,Series H,472550000,USD,472550000,"Microsoft, WuXi AppTec, Regeneron, MidCap Financial, Perceptive Advisors",2009-01-01,year,Active
INDmoney,https://www.crunchbase.com/organization/indmoney-com,"Gurgaon, Haryana, India",INDmoney is a mobile app that consolidates and manages finances in one place.,"Financial Services, FinTech","1,734",,,5,Late Stage Venture,2022-03-28,11000000,USD,11000000,Series D,11000000,USD,11000000,153891230,USD,153891230,Series D,153891230,USD,153891230,"Dragoneer Investment Group, Peyush Bansal, Steadview Capital, Tiger Global Management, Ashish Kashyap",2018-01-01,year,Active
Mirantis,https://www.crunchbase.com/organization/mirantis,"Campbell, California, United States",Mirantis is a DevOps as-a-service company that helps organizations ship code on public and private clouds on any infrastructure.,"Cloud Computing, DevOps, Enterprise Software, IaaS, IT Infrastructure, Open Source","1,745",,,6,Early Stage Venture,2023-10-10,20000000,USD,20000000,Debt Financing,100000000,USD,100000000,220000000,USD,220000000,Series B,240000000,USD,240000000,"Ericsson, Horizon Technology Finance, Goldman Sachs, Red Hat, Sapphire Ventures",1999-01-01,year,Active
UVeye,https://www.crunchbase.com/organization/uveye,"Teaneck, New Jersey, United States",UVeye develops automated inspection systems for vehicles using AI and proprietary hardware.,"Artificial Intelligence (AI), Automotive, Industrial Automation, Machine Learning, Security","1,770",,,6,Late Stage Venture,2023-05-09,100000000,USD,100000000,Series D,100000000,USD,100000000,195500000,USD,195500000,Series D,195500000,USD,195500000,"General Motors, CarMax, Hyundai Motor Company, General Motors Ventures, Hanaco Venture Capital",2016-09-01,month,Active
CyCognito,https://www.crunchbase.com/organization/cycognito,"Palo Alto, California, United States","CyCognito is an external cyber risk management platform that is fully-automated & highly scalable, driven to create positive business impact","Cloud Security, Cyber Security, Information Technology, Network Security, SaaS","1,782",,,4,Late Stage Venture,2021-12-01,100000000,USD,100000000,Series C,100000000,USD,100000000,153000000,USD,153000000,Series C,153000000,USD,153000000,"Lightspeed Venture Partners, Accel, The Westly Group, Harpoon, Thomvest Ventures",2017-01-01,year,Active
Spryker Systems,https://www.crunchbase.com/organization/spryker-systems,"Berlin, Berlin, Germany",Spryker is a commerce technology platform that enables global enterprises to build transactional business models.,"B2B, B2C, E-Commerce Platforms, Enterprise Software, Marketplace, SaaS","1,789",,,4,,2021-02-01,,,,Venture - Series Unknown,,,,152000000,USD,152000000,Venture - Series Unknown,152000000,USD,152000000,"TCV, One Peak, Cherry Ventures, Project A Ventures, BPO Capital",2014-11-01,day,Active
Notarize,https://www.crunchbase.com/organization/notarize,"Boston, Massachusetts, United States",Notarize is an on-demand remote electronic notary service that allows anyone to legally notarize a document online.,"Legal, Legal Tech, Software","1,817",,,10,Late Stage Venture,2023-10-02,,,,Convertible Note,130000000,USD,130000000,213337968,USD,213337968,Series D,213337968,USD,213337968,"Wells Fargo, Polaris Partners, Realogy Holdings, Lennar Corporation, Fifth Wall",2015-05-01,month,Active
EGYM,https://www.crunchbase.com/organization/egym,"Munich, Bayern, Germany",EGYM is a smart fitness startup that provides fitness and health facilities with intelligent workout solutions.,"Fitness, Sports, Wellness","1,827",,,8,Late Stage Venture,2023-07-05,207000000,EUR,224701781,Series F,207000000,EUR,224701781,379736845,USD,379736845,Series F,409173302,USD,409173302,"European Investment Bank, NGP Capital, HTGF | High-Tech Gruenderfonds, Bayern Kapital, Highland Europe",2011-01-01,year,Active
Bungalow,https://www.crunchbase.com/organization/bungalow,"San Francisco, California, United States",Bungalow provides home rental services.,"Communities, Real Estate, Rental, Rental Property, Residential","1,831",,,5,Late Stage Venture,2021-08-24,75000000,USD,75000000,Series C,75000000,USD,75000000,121000000,USD,121000000,Series C,171000000,USD,171000000,"Gaingels, UpHonest Capital, Khosla Ventures, Founders Fund, Maverick Ventures",2016-01-01,year,Active
AeroFarms,https://www.crunchbase.com/organization/aerofarms,"Newark, New Jersey, United States","AeroFarms, B Corp leader in Indoor Vertical Farming, growing produce using up to 95% less water and no pesticides ever.","Agriculture, AgTech, CleanTech, Hospitality","1,877",,,11,,2023-09-28,70779175,USD,70779175,Undisclosed,70779175,USD,70779175,307755813,USD,307755813,Undisclosed,308755813,USD,308755813,"Foundation for Food and Agriculture Research, AllianceBernstein, Newark Venture Partners, Grosvenor Food & AgTech, Ingka Group",2004-01-01,year,Active
Autograph,https://www.crunchbase.com/organization/autograph-862f,"Santa Monica, California, United States",Autograph is an NFT platform that brings together the iconic brands in sports and culture to create digital collections.,"Blockchain, Collectibles, Media and Entertainment, Non-Fungible Token (NFT), Sports","1,991",,,3,Early Stage Venture,2022-01-19,170000000,USD,170000000,Series B,170000000,USD,170000000,205000000,USD,205000000,Series B,205000000,USD,205000000,"Andreessen Horowitz, Kleiner Perkins, Electric Feel Ventures, Velvet Sea Ventures, Cosmic Venture Partners",2021-01-01,year,Active
Bitdefender,https://www.crunchbase.com/organization/bitdefender,"Bucharest, Bucuresti, Romania",Bitdefender is a security technology company that provides advanced threat protection to both business and consumer customers.,"Cloud Security, Cyber Security, Network Security, Software","2,049",,,2,,2017-12-01,180000000,USD,180000000,Secondary Market,7000000,USD,7000000,7000000,USD,7000000,Venture - Series Unknown,187000000,USD,187000000,"Vitruvian Partners, Romanian-American Enterprise Fund, Balkan Accession Fund",2001-01-01,year,Active
UnitedMasters,https://www.crunchbase.com/organization/unitedmasters,"Brooklyn, New York, United States",UnitedMasters is a technology platform that gives musicians an alternative to exploitative record label deals.,"Audio, Marketing, Media and Entertainment, Music, Music Label","2,184",,,3,Late Stage Venture,2021-10-28,50000000,USD,50000000,Series C,50000000,USD,50000000,170000000,USD,170000000,Series C,170000000,USD,170000000,"Apple, Andreessen Horowitz, Alphabet, 20th Century Studios",2017-01-01,year,Active
Ruangguru,https://www.crunchbase.com/organization/ruangguru,"Jakarta, Jakarta Raya, Indonesia",Ruangguru is an information technology company that focuses on education-based services.,"EdTech, Education, Training","2,203",,,9,,2021-04-16,55000000,USD,55000000,Venture - Series Unknown,55000000,USD,55000000,205000000,USD,205000000,Venture - Series Unknown,205050000,USD,205050000,"Notable Capital, East Ventures, Alto Partners Multi-Family Office, Tiger Global Management, UOB Venture",2014-01-01,year,Active
Hyperice,https://www.crunchbase.com/organization/hyperice,"Irvine, California, United States",HyperIce is a wellness brand that provides recovery and movement enhancement technology for athletes and consumers.,"Fitness, Health Care, Sporting Goods, Sports, Wellness","2,204",,,6,,2023-07-12,100000000,USD,100000000,Debt Financing,,,,47800000,USD,47800000,Undisclosed,147800000,USD,147800000,"One Team Partners, Shane Neman, National Basketball Association, SC.Holdings, 32 Equity",2011-01-01,year,Active
Scaler Academy,https://www.crunchbase.com/organization/interviewbit-academy,"Bengaluru, Karnataka, India",Advanced online computer science program for college graduates and young software engineers,"Computer, Education, Software, Software Engineering","2,216",,,2,Early Stage Venture,2022-01-31,55000000,USD,55000000,Series B,55000000,USD,55000000,55000000,USD,55000000,Series B,55000000,USD,55000000,"Lightrock, Tiger Global Management, Peak XV Partners",2019-04-01,month,Active
Tiki,https://www.crunchbase.com/organization/tiki-vn,"Ho Chi Minh City, NA - Vietnam, Vietnam",Tiki is an e-commerce company that specializes in the end-to-end supply chain and partnering with brands.,"E-Commerce, Retail, Shopping","2,237",,,10,,2022-05-02,,,,Corporate Round,,,,470500000,USD,470500000,Corporate Round,470500000,USD,470500000,"UBS, JD.com, United Overseas Bank, Korea Investment Partners, Sumitomo",2010-01-01,year,Active
uberall,https://www.crunchbase.com/organization/uberall,"Berlin, Berlin, Germany","Uberall powers sales through location data, using the innovative location marketing cloud.","Information Technology, Location Based Services, Marketing","2,243",,,8,Private Equity,2021-06-15,115000000,USD,115000000,Private Equity,115000000,USD,115000000,170800000,USD,170800000,Private Equity,170800000,USD,170800000,"United Internet Ventures, Level Equity Management, Bregal Milestone, Project A Ventures, HPE Growth",2012-01-01,year,Active
Believer Meats,https://www.crunchbase.com/organization/future-meat-technologies,"Jerusalem, Yerushalayim, Israel",Believer Meats is a food technology company focused on using clean meat and cellular agriculture to replace traditional animal-based foods.,"Alternative Protein, Biotechnology, Food and Beverage, Food Processing, Manufacturing, Meat and Poultry, Organic Food","2,283",,,5,Early Stage Venture,2021-12-17,347000000,USD,347000000,Series B,347000000,USD,347000000,361000000,USD,361000000,Series B,387750000,USD,387750000,"S2G Ventures, Manta Ray Ventures, Emerald Technology Ventures, ADM Ventures, Archer Daniels Midland Company",2018-01-01,year,Active
Industrious,https://www.crunchbase.com/organization/industrious-office,"New York, New York, United States",Industrious is a premium flexible workspace provider that redefines the workplace experience.,"Collaboration, Communities, Coworking, PropTech","2,297",,,5,,2021-02-22,200000000,USD,200000000,Corporate Round,200000000,USD,200000000,422000000,USD,422000000,Corporate Round,422000000,USD,422000000,"Fifth Wall, Riverwood Capital, Canada Pension Plan Investment Board, Equinox Fitness, Reshape",2013-03-01,day,Active
AutoFi,https://www.crunchbase.com/organization/autofi,"San Francisco, California, United States",AutoFi is a commerce platform delivering point of sale solution for financing a vehicle online.,"Automotive, Financial Services, Point of Sale","2,316",,,6,Late Stage Venture,2022-03-07,85000000,USD,85000000,Series C,85000000,USD,85000000,114500000,USD,114500000,Series C,114500000,USD,114500000,"Ford Motor, 500 Global, SVB Financial Group, Eniac Ventures, Crosslink Capital",2015-01-01,year,Active
Stenn Technologies,https://www.crunchbase.com/organization/stenn,"London, England, United Kingdom",Stenn Technologies is a global category leader in digital trade finance for international SMEs in 70+ countries.,"Finance, Marketplace, Trading Platform","2,347",,,6,Early Stage Venture,2023-02-16,200000000,USD,200000000,Debt Financing,50000000,USD,50000000,50000000,USD,50000000,Series A,1025000000,USD,1025000000,"Coface, Barclays Investment Bank, Natixis, Centerbridge Partners, Crayhill Capital Management",2015-01-01,year,Active
Karius,https://www.crunchbase.com/organization/karius,"Redwood City, California, United States",Karius provides genomic insights for infectious diseases to enable clinicians to make life-saving treatment decisions.,"Biotechnology, Genetics, Health Care, Information Technology, Life Science, Precision Medicine","2,417",,,6,Early Stage Venture,2022-03-07,,,,Series B,,,,229000000,USD,229000000,Series B,254000000,USD,254000000,"Tencent, General Catalyst, DCVC, Lightspeed Venture Partners, Khosla Ventures",2014-01-01,year,Active
Astroscale,https://www.crunchbase.com/organization/astroscale,"Sumida, Tokyo, Japan",Astroscale provides on-orbit services to create sustainable space systems and mitigate the buildup of debris in space.,"Aerospace, Information Technology, Robotics, Space Travel","2,431",,,10,Late Stage Venture,2023-02-26,83600000,USD,83600000,Series G,83600000,USD,83600000,392300000,USD,392300000,Series G,396800000,USD,396800000,"ANA Holdings, SMBC Venture Capital, JAFCO, Mitsubishi UFJ Capital, Seraphim Space",2013-05-04,day,Active
Parallel,https://www.crunchbase.com/organization/parallel-ed26,"Toronto, Ontario, Canada",Parallel is a Sci-Fi Card Game with NFTs.,"Blockchain, Online Games","2,441",,,2,,2024-03-28,35000000,USD,35000000,Venture - Series Unknown,35000000,USD,35000000,85000000,USD,85000000,Venture - Series Unknown,85000000,USD,85000000,"Golden Chain, Devmons, dingaingta dingaingta, Darran Darran, gralidatath gralidatath",2021-01-01,year,Active
Shogun,https://www.crunchbase.com/organization/shogun,"Walnut, California, United States",Shogun is an E-commerce platform that helps brands create unique buying experiences and optimize their online stores.,"Digital Marketing, E-Commerce, SaaS, Web Design, Web Development","2,476",,,5,Late Stage Venture,2021-06-30,67500000,USD,67500000,Series C,67500000,USD,67500000,114600000,USD,114600000,Series C,114600000,USD,114600000,"Y Combinator, Accel, Insight Partners, VMG Partners, Initialized Capital",2015-02-27,day,Active
Delos,https://www.crunchbase.com/organization/delos,"New York, New York, United States",Delos is a wellness real estate and technology company that provides a health-concentric development platform for interior environments.,"Commercial Real Estate, Health Care, Hospitality, Real Estate, Wellness","2,478",,,9,Private Equity,2024-03-22,3233698,USD,3233698,Debt Financing,,,,198133000,USD,198133000,Private Equity,202441698,USD,202441698,"Chaos Ventures, Sweetwater Capital Partners, K20 Fund, Cascade Investment, Greybrook Realty Partners",2009-01-01,year,Active
Class Technologies,https://www.crunchbase.com/organization/class-technologies,"Washington, District of Columbia, United States","Class Technologies provides Class for Zoom, which integrates the Class software for teachers on the Zoom Meetings platform.","E-Learning, EdTech, Education, Information Technology, Social Media, Software, Video Conferencing","2,516",,,4,Early Stage Venture,2021-07-28,105000000,USD,105000000,Series B,105000000,USD,105000000,164000000,USD,164000000,Series B,164000000,USD,164000000,"Reach Capital, Diligent, Insight Partners, GSV Ventures, Owl Ventures",2020-01-01,year,Active
Medikabazaar,https://www.crunchbase.com/organization/medikabazaar,"Mumbai, Maharashtra, India",Medikabazaar is an online B2B marketspace for medical supplies and equipment.,"B2B, Health Care, Marketplace, Medical Device","2,568",,,9,Late Stage Venture,2022-04-12,4940000000,INR,64872005,Series D,4940000000,INR,64872005,177021827,USD,177021827,Series D,187021827,USD,187021827,"British International Investment, MITSUI SUMITOMO INSURANCE Venture Capital (MSIVC), Lighthouse Funds, CDC Group, Creaegis",2015-04-01,month,Active
Embark,https://www.crunchbase.com/organization/embark-veterinary,"Boston, Massachusetts, United States",Embark offers dog DNA testing that ends preventable diseases in dogs.,"Health Care, Pet, Veterinary","2,586",,,5,Early Stage Venture,2021-07-26,75000000,USD,75000000,Series B,75000000,USD,75000000,94300000,USD,94300000,Series B,94300000,USD,94300000,"F-Prime Capital, Section 32, FJ Labs, Freestyle Capital, SVA",2015-07-29,day,Active
Chia Network,https://www.crunchbase.com/organization/chia-network,"San Francisco, California, United States",Chia Network is building a blockchain platform based on Proofs of Space and Time.,"Blockchain, Cryptocurrency, FinTech","2,661",,,5,Late Stage Venture,2021-05-24,61000000,USD,61000000,Series D,61000000,USD,61000000,69695000,USD,69695000,Series D,69695000,USD,69695000,"Andreessen Horowitz, DCM Ventures, Cypherpunk Holdings Inc., Breyer Capital, DHVC",2017-08-15,day,Active
Caffeine,https://www.crunchbase.com/organization/caffeine,"Redwood City, California, United States","Caffeine is a new kind of broadcast company focused on the creation and distribution of live, interactive content.","Broadcasting, Media and Entertainment, Social Media, Video Games, Video Streaming","2,693",,,6,Late Stage Venture,2020-07-08,113000000,USD,113000000,Series D,113000000,USD,113000000,294000000,USD,294000000,Series D,294000000,USD,294000000,"Andreessen Horowitz, Cox Enterprises, Disney Accelerator, Fox Corporation, MaC Venture Capital",2016-04-01,day,Active
Pyramid Analytics,https://www.crunchbase.com/organization/pyramid-analytics,"Amsterdam, Noord-Holland, The Netherlands",Pyramid Analytics provides insights for employees across the organization with enterprise-level business analytics software.,"Analytics, Business Information Systems, Business Intelligence, Enterprise Software, Machine Learning, Software","2,725",,,5,Late Stage Venture,2022-05-08,120000000,USD,120000000,Series E,120000000,USD,120000000,194000003,USD,194000003,Series E,194000003,USD,194000003,"Sequoia Capital, Clal Insurance Enterprises Holdings, Jerusalem Venture Partners (JVP), Kreos Capital, H.I.G. Growth Partners",2008-01-01,year,Active
MainStreet,https://www.crunchbase.com/organization/mainstreet-08ea,"San Jose, California, United States",MainStreet is a financial platform that helps startups and small businesses discover and claim tax credits and government incentives.,"Banking, Financial Services, FinTech, Procurement, Software","2,733",,,6,Early Stage Venture,2022-01-21,,,,Series B,,,,62650000,USD,62650000,Series B,64650000,USD,64650000,"Alumni Ventures, Gradient Ventures, Bracket Capital, Jackson Moses, SignalFire",2019-10-01,month,Active
INRIX,https://www.crunchbase.com/organization/inrix,"Kirkland, Washington, United States","INRIX enables cities, people, and businesses with mobility insights by transforming big data from connected devices and vehicles.","Analytics, Big Data, Internet of Things, Transportation","2,813",,,10,Late Stage Venture,2023-08-08,70000000,USD,70000000,Debt Financing,10000000,USD,10000000,114100000,USD,114100000,Series F,264100000,USD,264100000,"General Motors, Bain Capital Ventures, Bain Capital, Venrock, Kleiner Perkins",2005-01-01,year,Active
GWI,https://www.crunchbase.com/organization/globalwebindex,"London, England, United Kingdom",GWI is a supplier of target audience insight to the global marketing industry.,"Advertising, Analytics, Information Technology, Market Research, Marketing","2,846",,,2,Early Stage Venture,2022-02-01,133000000,GBP,179882386,Series B,133000000,GBP,179882386,219882387,USD,219882387,Series B,219882387,USD,219882387,"Permira, Stripes",2009-01-01,year,Active
BrightInsight,https://www.crunchbase.com/organization/brightinsight,"Sunnyvale, California, United States",BrightInsight offers a global regulated digital health platform for biopharma and medtech.,"Biopharma, Health Care, Medical, Software","2,853",,,3,Late Stage Venture,2021-03-30,101000000,USD,101000000,Series C,101000000,USD,101000000,166000000,USD,166000000,Series C,166000000,USD,166000000,"Gaingels, General Catalyst, Insight Partners, New Leaf Venture Partners, Eclipse Ventures",2017-01-01,year,Active
Reibus,https://www.crunchbase.com/organization/reibus-international,"Atlanta, Georgia, United States",Reibus is a B2B digital marketplace for industrial materials.,"B2B, E-Commerce, Industrial, Marketplace, Supply Chain Management","2,886",,,6,,2022-12-08,,,,Venture - Series Unknown,,,,101650000,USD,101650000,Venture - Series Unknown,101650000,USD,101650000,"FJ Labs, Stage 2 Capital, Initialized Capital, Bowery Capital, Battery Ventures",2018-03-01,month,Active
Rain,https://www.crunchbase.com/organization/rain-bh,"Manama, Al Manamah, Bahrain",Rain is an operator and custodian of digital currency exchange intended to make digital transactions.,"Bitcoin, Cryptocurrency, Financial Exchanges, Financial Services","2,888",,,9,Early Stage Venture,2022-01-18,110000000,USD,110000000,Series B,110000000,USD,110000000,228690000,USD,228690000,Series B,228690000,USD,228690000,"500 Global, CMT Digital Ventures, Kleiner Perkins, Coinbase Ventures, VentureSouq",2017-09-01,month,Active
Homeward,https://www.crunchbase.com/organization/homeward,"Austin, Texas, United States",Homeward is an Austin-based startup that enables homebuyers to make all-cash offers and buy a new home before they sell their old one.,Real Estate,"3,006",,,6,Early Stage Venture,2021-05-27,235000000,USD,235000000,Debt Financing,136000000,USD,136000000,160000000,USD,160000000,Series B,501000000,USD,501000000,"Adams Street Partners, LiveOak Venture Partners, Keystone Bank, Breyer Capital, Javelin Venture Partners",2018-01-01,year,Active
Otrium,https://www.crunchbase.com/organization/otrium-4,"Amsterdam, Noord-Holland, The Netherlands","Otrium is an online fashion outlet marketplace which tech-enables designer brands to turn unsold inventory into an opportunity,","E-Commerce, Fashion, Internet, Marketplace, Retail","3,079",,,6,Late Stage Venture,2021-03-31,100000000,EUR,117273576,Series C,100000000,EUR,117273576,132550000,EUR,153358087,Series C,132550000,EUR,153358087,"Eight Roads Ventures, Bond, Index Ventures, Milano Investment Partners SGR, Adriaan Mol",2015-01-01,year,Active
Raise,https://www.crunchbase.com/organization/raise-marketplace,"Chicago, Illinois, United States",Raise is a marketplace (exchange) for gift cards that is the largest direct-to-consumer seller of digital gift cards in the world.,"E-Commerce, Gift Card, Marketplace","3,150",,,6,,2020-01-29,,,,Venture - Series Unknown,,,,147200000,USD,147200000,Venture - Series Unknown,147200000,USD,147200000,"Alumni Ventures, Soma Capital, PayPal Ventures, Accel, Bessemer Venture Partners",2013-01-01,year,Active
ClearScore,https://www.crunchbase.com/organization/clearscore,"London, England, United Kingdom",ClearScore is a financial technology company that provides credit scoring services and a marketplace.,"Credit, Financial Services, FinTech","3,163",,,4,Private Equity,2021-06-25,200000000,USD,200000000,Private Equity,200000000,USD,200000000,200000000,USD,200000000,Private Equity,200000000,USD,200000000,"Lead Edge Capital, Blenheim Chalcot, QED Investors, Invus Opportunities, Future Fifty",2014-01-01,year,Active
Workboard,https://www.crunchbase.com/organization/workboard,"Redwood City, California, United States",Workboard provides an enterprise results management platform designed to automate business reviews.,"Business Intelligence, Enterprise Software, SaaS, Software","3,181",,,6,Late Stage Venture,2021-05-04,75000000,USD,75000000,Series D,75000000,USD,75000000,140050000,USD,140050000,Series D,141550000,USD,141550000,"Notable Capital, Andreessen Horowitz, Floodgate, Crosslink Capital, M12 - Microsoft's Venture Fund",2013-02-11,day,Active
TakeOff,https://www.crunchbase.com/organization/takeoff-technologies,"Waltham, Massachusetts, United States",TakeOff uses an automated software platform to help grocers thrive in e-Commerce.,"E-Commerce, Grocery, Internet, Logistics, Software","3,197",,,7,,2022-01-24,,,,Corporate Round,,,,146131342,USD,146131342,Corporate Round,146131342,USD,146131342,"Marfrig, H20 Capital, IGNIA, Forrestal Capital",2016-01-01,year,Active
Zinier,https://www.crunchbase.com/organization/zinier,"San Mateo, California, United States",Zinier offers a low-code field service automation platform that provides a combined power of humans and technology.,"Artificial Intelligence (AI), Cloud Computing, Enterprise Applications, Enterprise Software, Field Support, Machine Learning, SaaS","3,241",,,4,Late Stage Venture,2020-01-15,90000000,USD,90000000,Series C,90000000,USD,90000000,120000000,USD,120000000,Series C,120000000,USD,120000000,"ICONIQ Growth, Founders Fund, Qualcomm Ventures, NGP Capital, Accel",2015-01-01,year,Active
Spenmo,https://www.crunchbase.com/organization/spenmo,"Singapore, Central Region, Singapore",Spenmo is an expense management platform empowering finance teams to make smarter financial decisions.,"B2B, Financial Services, FinTech, Payments, Software","3,264",,,4,Early Stage Venture,2022-01-05,85350000,USD,85350000,Series B,85350000,USD,85350000,121350000,USD,121350000,Series B,121350000,USD,121350000,"Y Combinator, Rocket Internet, Iterative, Titan Capital, Insight Partners",2019-01-01,year,Active
DigiLens,https://www.crunchbase.com/organization/digilens,"Sunnyvale, California, United States",DigiLens is an innovator in holographic waveguide display technology for extended reality (XR).,"Augmented Reality, Manufacturing, Nanotechnology, Virtual Reality, Wearables","3,358",,,7,Late Stage Venture,2022-04-07,50000000,USD,50000000,Series D,50000000,USD,50000000,160000000,USD,160000000,Series D,160000000,USD,160000000,"Panasonic, Corning, Foxconn Technology Group, Samsung Electronics, Niantic",2003-04-01,month,Active
ThirdLove,https://www.crunchbase.com/organization/thirdlove,"San Francisco, California, United States",ThirdLove is a women’s lifestyle brand that offers a range of lingerie and underwear.,"E-Commerce, Fashion, Lingerie, Shopping, Women's","3,468",,,6,,2023-08-17,12000000,USD,12000000,Debt Financing,,,,68600000,USD,68600000,Venture - Series Unknown,80600000,USD,80600000,"Andreessen Horowitz, L Catterton, The London Fund, Allen & Company, New Enterprise Associates",2013-01-01,year,Active
Moda Operandi,https://www.crunchbase.com/organization/moda-operandi,"New York, New York, United States",Moda Operandi is a platform for emerging fashion designers and retailers.,"E-Commerce, Fashion, Internet, Retail","3,483",,,9,,2021-05-01,,,,Venture - Series Unknown,,,,344747906,USD,344747906,Venture - Series Unknown,393747906,USD,393747906,"Fidelity, PROOF, New Enterprise Associates, Advance, G Squared",2010-08-01,day,Active
TymeBank,https://www.crunchbase.com/organization/tyme,"Johannesburg, NA - South Africa, South Africa","TymeBank is a digital bank providing accessible and affordable banking services, including mobile banking, savings and loans.","Banking, Financial Services, Information Technology, Payments","3,532",,,7,Late Stage Venture,2023-05-23,77800000,USD,77800000,Series C,77800000,USD,77800000,316844357,USD,316844357,Series C,316844357,USD,316844357,"Tencent, Blue Earth Capital, British International Investment, CDC Group, Apis Partners",2012-01-01,year,Active
Absolute,https://www.crunchbase.com/organization/ecsoglobal,"New Delhi, Delhi, India",Absolute® is a pathbreaking plant bioscience company.,"Agriculture, Biotechnology, Food and Beverage, Fruit","3,794",,,6,Early Stage Venture,2023-09-06,,,,Grant,100000000,USD,100000000,115523059,USD,115523059,Series B,115523059,USD,115523059,"Alpha Wave Global, Tiger Global Management, Surge, Peak XV Partners, Alpha Wave Incubation",2015-01-01,year,Active
8 Rivers,https://www.crunchbase.com/organization/8-rivers-capital,"Durham, North Carolina, United States",8 Rivers is a clean energy and climate technology company leading the global energy industry towards achieving net zero.,"Carbon Capture, Clean Energy, CleanTech, Energy, Oil and Gas","3,796",,,1,,2022-03-08,100000000,USD,100000000,Corporate Round,100000000,USD,100000000,100000000,USD,100000000,Corporate Round,100000000,USD,100000000,SK Materials,2008-05-06,day,Active
